Kilometers_Driven,Mileage,Engine,Power,Seats,Price,Year_Since,Model,Brand,Location;Bangalore,Location;Chennai,Location;Coimbatore,Location;Delhi,Location;Hyderabad,Location;Jaipur,Location;Kochi,Location;Kolkata,Location;Mumbai,Location;Pune,Fuel_Type;Diesel,Fuel_Type;Electric,Fuel_Type;LPG,Fuel_Type;Petrol,Transmission;Manual,Owner_Type;Fourth & Above,Owner_Type;Second,Owner_Type;Third
72000,26.6,998,58.16,5.0,1.75,13.0,189,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
41000,19.67,1582,126.2,5.0,12.5,8.0,53,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
46000,18.2,1199,88.7,5.0,4.5,12.0,99,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
87000,20.77,1248,88.76,7.0,6.0,11.0,69,18,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
40670,15.2,1968,140.8,5.0,17.74,10.0,10,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
75000,21.1,814,55.2,5.0,2.35,11.0,61,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
86999,23.08,1461,63.1,5.0,3.5,10.0,113,22,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
36000,11.36,2755,171.5,8.0,17.5,7.0,98,28,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
64430,20.54,1598,103.6,5.0,5.2,10.0,181,29,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
65932,22.3,1248,74.0,5.0,1.95,11.0,96,27,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
25692,21.56,1462,103.25,5.0,9.95,5.0,43,18,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
60000,16.8,1497,116.3,5.0,4.49,11.0,44,9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
64424,25.2,1248,74.0,5.0,5.6,8.0,169,18,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
72000,12.7,2179,187.7,5.0,27.0,9.0,146,16,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
85000,0.0,2179,115.0,5.0,17.5,11.0,146,16,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
110000,13.5,2477,175.56,7.0,15.0,9.0,126,21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
