Date,Open,High,Low,Close,Adj Close,Volume
2004-01-01,11.222300,11.256000,10.730000,11.048000,11.048000,0
2004-02-01,11.060000,11.285000,10.833000,11.055000,11.055000,0
2004-03-01,11.055000,11.235000,10.804000,11.105000,11.105000,0
2004-04-01,11.120000,11.465000,11.075000,11.352000,11.352000,0
2004-05-01,11.412000,11.685000,11.317000,11.427000,11.427000,0
2004-06-01,11.403000,11.571000,11.239000,11.467000,11.467000,0
2004-07-01,11.464000,11.537000,11.320000,11.468000,11.468000,0
2004-08-01,11.468000,11.468000,11.258000,11.365000,11.365000,0
2004-09-01,11.368000,11.608000,11.331000,11.353000,11.353000,0
2004-10-01,11.336000,11.549000,11.098000,11.540000,11.540000,0
2004-11-01,11.511000,11.529000,11.163000,11.202000,11.202000,0
2004-12-01,11.197000,11.451000,11.024000,11.106000,11.106000,0
2005-01-01,11.106000,11.403000,11.072000,11.154000,11.154000,0
2005-02-01,11.152000,11.225000,10.963000,11.088000,11.088000,0
2005-03-01,11.075000,11.325000,10.920000,11.161500,11.161500,0
2005-04-01,11.161500,11.268000,10.953000,10.987000,10.987000,0
2005-05-01,11.035000,11.066000,10.816000,10.871500,10.871500,0
2005-06-01,10.871500,10.909000,10.685000,10.736500,10.736500,0
2005-07-01,10.732500,10.868000,10.525000,10.588000,10.588000,0
2005-08-01,10.574000,10.908000,10.497000,10.760000,10.760000,0
2005-09-01,10.760000,10.912200,10.588000,10.755000,10.755000,0
2005-10-01,10.755300,10.966800,10.621000,10.757000,10.757000,0
2005-11-01,10.758000,10.789000,10.504000,10.557500,10.557500,0
2005-12-01,10.536000,10.787900,10.353000,10.620000,10.620000,0
2006-01-01,10.622500,10.664000,10.379000,10.440500,10.440500,0
2006-02-01,10.440500,10.600000,10.376000,10.480300,10.480300,0
2006-03-01,10.480300,11.065800,10.410000,10.866000,10.866000,0
2006-04-01,10.843000,11.194100,10.777000,11.050500,11.050500,0
2006-05-01,11.043000,11.364250,10.756000,11.282000,11.282000,0
2006-06-01,11.286500,11.515000,11.140000,11.238000,11.238000,0
2006-07-01,11.341500,11.499800,10.802000,10.941000,10.941000,0
2006-08-01,10.866000,11.038800,10.688000,10.905500,10.905500,0
2006-09-01,10.893000,11.117900,10.780000,10.932000,10.932000,0
2006-10-01,10.975000,11.092800,10.640000,10.745300,10.745300,0
2006-11-01,10.729000,11.112000,10.675000,10.962000,10.962000,0
2006-12-01,10.967500,11.036800,10.700000,10.750000,10.750000,0
2007-01-01,10.750000,11.101500,10.705000,10.992500,10.992500,0
2007-02-01,10.988000,11.202400,10.843000,11.163300,11.163300,0
2007-03-01,11.162200,11.252700,10.937000,11.040800,11.040800,0
2007-04-01,11.040800,11.049950,10.863000,10.970500,10.970500,0
2007-05-01,10.970500,10.970500,10.684000,10.740500,10.740500,0
2007-06-01,10.741500,11.060000,10.653000,10.785000,10.785000,0
2007-07-01,10.785000,11.025300,10.681000,10.987500,10.987500,0
2007-08-01,10.989500,11.321150,10.860100,11.029000,11.029000,0
2007-09-01,11.029000,11.150300,10.867000,10.931000,10.931000,0
2007-10-01,10.922000,10.959500,10.628000,10.636900,10.636900,0
2007-11-01,10.618000,11.020200,10.618000,10.896000,10.896000,0
2007-12-01,10.896000,10.950000,10.769000,10.893000,10.893000,0
2008-01-01,10.884000,11.011300,10.791000,10.812600,10.812600,0
2008-02-01,10.819200,10.845200,10.640000,10.722000,10.722000,0
2008-03-01,10.705000,10.893900,10.611000,10.635500,10.635500,0
2008-04-01,10.554300,10.597000,10.409000,10.489500,10.489500,0
2008-05-01,10.486000,10.585100,10.271000,10.326000,10.326000,0
2008-06-01,10.314500,10.445400,10.241000,10.299000,10.299000,0
2008-07-01,10.367000,10.399000,9.980300,10.030100,10.030100,0
2008-08-01,10.029200,10.301500,9.834000,10.274200,10.274200,0
2008-09-01,10.251000,11.048700,10.251000,10.930500,10.930500,0
2008-10-01,10.927000,14.274800,10.886000,12.800000,12.800000,0
2008-11-01,12.671000,14.125400,12.430000,13.477700,13.477700,0
2008-12-01,13.455000,13.887500,12.965000,13.756000,13.756000,0
2009-01-01,13.756000,14.432800,13.269000,14.329000,14.329000,0
2009-02-01,14.329000,15.340000,14.051000,15.092000,15.092000,0
2009-03-01,15.230000,15.572100,13.723500,14.155300,14.155300,0
2009-04-01,14.155000,14.182800,12.981000,13.811600,13.811600,0
2009-05-01,13.813400,13.860900,12.814700,13.136000,13.136000,0
2009-06-01,13.132000,13.704200,12.966000,13.179000,13.179000,0
2009-07-01,13.178400,13.844000,13.034000,13.149000,13.149000,0
2009-08-01,13.183000,13.517000,12.702000,13.352800,13.352800,0
2009-09-01,13.352800,13.789000,13.114000,13.506700,13.506700,0
2009-10-01,13.513400,13.809800,12.790000,13.169000,13.169000,0
2009-11-01,13.098000,13.439300,12.782800,12.933000,12.933000,0
2009-12-01,12.923300,13.135500,12.481500,13.084000,13.084000,0
2010-01-01,13.068100,13.098800,12.572700,13.068500,13.068500,0
2010-02-01,13.067600,13.248300,12.738000,12.759540,12.759540,0
2010-03-01,12.758640,12.773000,12.293000,12.355300,12.355300,0
2010-04-01,12.351800,12.452500,12.122000,12.301800,12.301800,0
2010-05-01,12.224000,13.373600,12.223210,12.906790,12.906790,0
2010-06-01,12.916790,13.041000,12.413000,12.929700,12.929700,0
2010-07-01,12.926000,13.163200,12.603000,12.633000,12.633000,0
2010-08-01,12.638000,13.259100,12.474000,13.208000,13.208000,0
2010-09-01,13.213000,13.215000,12.434000,12.594000,12.594000,0
2010-10-01,12.593000,12.623400,12.263400,12.342000,12.342000,0
2010-11-01,12.347000,12.589900,12.170400,12.479500,12.479500,0
2010-12-01,12.479500,12.530400,12.288800,12.331600,12.331600,0
2011-01-01,12.340100,12.370000,11.942700,12.112000,12.112000,0
2011-02-01,12.112000,12.237800,11.952000,12.099000,12.099000,0
2011-03-01,12.099000,12.224000,11.873000,11.891000,11.891000,0
2011-04-01,11.892000,11.898100,11.487000,11.520000,11.520000,0
2011-05-01,11.509800,11.787600,11.475000,11.563000,11.563000,0
2011-06-01,11.566000,12.015100,11.537000,11.711200,11.711200,0
2011-07-01,11.710000,11.949700,11.519000,11.686000,11.686000,0
2011-08-01,11.689700,12.746600,11.617000,12.322000,12.322000,0
2011-09-01,12.322000,14.114000,12.240900,13.885000,13.885000,0
2011-10-01,13.865300,14.091200,12.989000,13.348900,13.348900,0
2011-11-01,13.348900,14.302400,13.271300,13.625700,13.625700,0
2011-12-01,13.624000,14.038700,13.435000,13.922300,13.922300,0
2012-01-01,13.922300,13.978500,12.835900,13.048000,13.048000,0
2012-02-01,13.038300,13.066500,12.614000,12.852000,12.852000,0
2012-03-01,12.853900,13.044400,12.537800,12.797500,12.797500,0
2012-04-01,12.799600,13.291900,12.694000,12.962400,12.962400,0
2012-05-01,13.015000,14.379700,12.877000,14.344400,14.344400,0
2012-06-01,14.345700,14.594800,13.302200,13.374348,13.374348,0
2012-07-01,13.378400,13.769800,13.093000,13.338200,13.338200,0
2012-08-01,13.349000,13.473100,13.033400,13.187000,13.187000,0
2012-09-01,13.187000,13.238500,12.705200,12.861500,12.861500,0
2012-10-01,12.873900,13.106600,12.661990,13.084500,13.084500,0
2012-11-01,13.073100,13.286000,12.895100,12.958600,12.958600,0
2012-12-01,12.945000,13.048600,12.682000,12.837300,12.837300,0
2013-01-01,12.842100,12.905000,12.550300,12.685200,12.685200,0
2013-02-01,12.686800,12.895100,12.587100,12.782300,12.782300,0
2013-03-01,12.779400,12.860000,12.287200,12.323300,12.323300,0
2013-04-01,12.311800,12.398100,12.014400,12.134600,12.134600,0
2013-05-01,12.132200,12.937990,11.934700,12.795700,12.795700,0
2013-06-01,12.835323,13.450800,12.603000,12.972000,12.972000,0
2013-07-01,12.971600,13.145700,12.426000,12.740000,12.740000,0
2013-08-01,12.741300,13.394860,12.545400,13.386881,13.386881,0
2013-09-01,13.334200,13.460460,12.580000,13.090040,13.090040,0
2013-10-01,13.082900,13.305600,12.748190,13.015100,13.015100,0
2013-11-01,13.016750,13.327300,12.849000,13.103000,13.103000,0
2013-12-01,13.101400,13.265800,12.798620,13.027310,13.027310,0
2014-01-01,13.027310,13.602000,12.956610,13.345140,13.345140,0
2014-02-01,13.367197,13.547500,13.042300,13.244380,13.244380,0
2014-03-01,13.253810,13.347300,13.035000,13.047710,13.047710,0
2014-04-01,13.059970,13.150700,12.941000,13.074780,13.074780,0
2014-05-01,13.078000,13.088310,12.825900,12.863391,12.863391,0
2014-06-01,12.840400,13.117800,12.820000,12.970320,12.970320,0
2014-07-01,12.980440,13.245900,12.902000,13.222800,13.222800,0
2014-08-01,13.224480,13.332800,13.030720,13.069340,13.069340,0
2014-09-01,13.075400,13.539030,13.022000,13.424120,13.424120,0
2014-10-01,13.422300,13.668000,13.275450,13.476630,13.476630,0
2014-11-01,13.486177,13.957500,13.451700,13.934000,13.934000,0
2014-12-01,13.937390,14.937700,13.871000,14.732160,14.732160,0
2015-01-01,14.732160,15.056450,14.435600,14.990256,14.990256,0
2015-02-01,14.956200,15.148320,14.630000,14.949918,14.949918,0
2015-03-01,14.931400,15.665950,14.864000,15.261500,15.261500,0
2015-04-01,15.261500,15.490030,14.737900,15.342660,15.342660,0
2015-05-01,15.342440,15.590370,14.973500,15.373660,15.373660,0
2015-06-01,15.396750,15.763400,15.167170,15.711390,15.711390,0
2015-07-01,15.710700,16.485769,15.632000,16.104940,16.104940,0
2015-08-01,16.118210,17.299850,16.075001,16.744780,16.744780,0
2015-09-01,16.744801,17.335800,16.373640,16.913639,16.913639,0
2015-10-01,16.908489,17.015350,16.332720,16.501650,16.501650,0
2015-11-01,16.483610,16.914000,16.354401,16.563200,16.563200,0
2015-12-01,16.564400,17.465321,16.471600,17.269760,17.269760,0
2016-01-01,17.269760,18.789351,17.173000,18.139000,18.139000,0
2016-02-01,18.141451,19.416250,17.982849,18.138411,18.138411,0
2016-03-01,18.140240,18.169350,17.103849,17.262911,17.262911,0
2016-04-01,17.268570,17.947451,17.049850,17.185083,17.185083,0
2016-05-01,17.180300,18.594690,17.111250,18.465401,18.465401,0
2016-06-01,18.463619,19.503950,18.077450,18.322950,18.322950,0
2016-07-01,18.320049,18.973690,18.023760,18.755289,18.755289,0
2016-08-01,18.757730,18.994551,17.903700,18.794201,18.794201,0
2016-09-01,18.794201,19.917749,18.245600,19.368931,19.368931,0
2016-10-01,19.367201,19.417049,18.443199,18.862000,18.862000,0
2016-11-01,18.855400,21.387650,18.176550,20.562149,20.562149,0
2016-12-01,20.561951,20.855551,20.138000,20.718399,20.718399,0
2017-01-01,20.718399,22.029449,20.617451,20.805099,20.805099,0
2017-02-01,20.820351,20.841749,19.595100,20.110100,20.110100,0
2017-03-01,20.124161,20.125799,18.634199,18.691589,18.691589,0
2017-04-01,18.744143,19.286831,18.447100,18.815760,18.815760,0
2017-05-01,18.811230,19.254850,18.338150,18.635349,18.635349,0
2017-06-01,18.635990,18.818781,17.794500,18.113859,18.113859,0
2017-07-01,18.111200,18.399549,17.436800,17.809650,17.809650,0
2017-08-01,17.801950,18.054850,17.573299,17.877300,17.877300,0
2017-09-01,17.886351,18.293671,17.596600,18.129080,18.129080,0
2017-10-01,18.241699,19.327850,18.126400,19.171150,19.171150,0
2017-11-01,19.171650,19.369020,18.436800,18.648170,18.648170,0
2017-12-01,18.648750,19.900700,18.553150,19.639999,19.639999,0
2018-01-01,19.661301,19.661501,18.318830,18.587099,18.587099,0
2018-02-01,18.586599,18.966181,18.297600,18.825100,18.825100,0
2018-03-01,18.839991,18.973129,18.143999,18.146400,18.146400,0
2018-04-01,18.146400,19.137770,17.930500,18.636999,18.636999,0
2018-05-01,18.710600,20.044750,18.683800,19.775200,19.775200,0
2018-06-01,19.896700,20.958361,19.560961,19.729300,19.729300,0
2018-07-01,19.897301,20.190149,18.484501,18.530581,18.530581,0
2018-08-01,18.653900,19.369850,18.393499,19.099840,19.099840,0
2018-09-01,19.098749,19.676840,18.662201,18.702900,18.702900,0
